trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.2, 'e': 0.37999999999999945}",30,16,0.5753135397413571,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.2, 'e': 0.36999999999999944}",20,0,-54.13224714784183,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",1
64,False,"{'a': 0.2, 'e': 0.35999999999999943}",20,4,18.472242635279322,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.2, 'e': 0.3499999999999994}",25,9,-22.62470914694286,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
66,False,"{'a': 0.2, 'e': 0.3399999999999994}",25,12,-1.941854463590297,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.2, 'e': 0.3299999999999994}",20,16,7.7882518477176,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.2, 'e': 0.3199999999999994}",25,13,21.125460624697514,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.2, 'e': 0.3099999999999994}",20,14,2.184827814492723,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.2, 'e': 0.2999999999999994}",30,4,-43.77313076584757,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 1}",1
71,False,"{'a': 0.2, 'e': 0.28999999999999937}",25,2,-57.863306208297615,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 2}",1
72,False,"{'a': 0.2, 'e': 0.27999999999999936}",25,6,9.562150333677428,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.2, 'e': 0.26999999999999935}",20,0,-29.722896414815786,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
74,False,"{'a': 0.2, 'e': 0.25999999999999934}",30,16,8.005177175387907,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.2, 'e': 0.24999999999999933}",30,13,9.992007455375777,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.2, 'e': 0.23999999999999932}",25,14,18.181690635963683,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.2, 'e': 0.22999999999999932}",20,3,24.879499798193752,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.2, 'e': 0.2199999999999993}",20,13,8.781767353799516,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.2, 'e': 0.2099999999999993}",20,10,14.762878404853133,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.2, 'e': 0.1999999999999993}",25,17,-5.608504274792515,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.2, 'e': 0.18999999999999928}",35,26,13.758899153272914,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.2, 'e': 0.17999999999999927}",20,14,-3.5271859746990772,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.2, 'e': 0.16999999999999926}",20,0,18.304188800988467,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
84,False,"{'a': 0.2, 'e': 0.15999999999999925}",20,7,15.067723445652693,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.2, 'e': 0.14999999999999925}",20,11,17.41136795039588,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.2, 'e': 0.13999999999999924}",25,8,4.54280339524286,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
87,False,"{'a': 0.2, 'e': 0.12999999999999923}",25,12,12.05761421142088,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.2, 'e': 0.11999999999999923}",20,1,13.204262366294277,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.2, 'e': 0.10999999999999924}",30,18,10.85029943494838,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
